_id,data,messageType,service
62f40da4e66a71ae9cac6464,"[""Q"",""2022-08-10T15:57:11.954397135-04:00"",1660161431954397200,""qqq"",800,325.95,325.975,326,800,null,null,0,0,null,null,null]",A,iex
62f40da4e66a71ae9cac6465,"[""Q"",""2022-08-10T15:57:11.961089743-04:00"",1660161431961089800,""qqq"",800,325.95,325.97,325.99,800,null,null,0,0,null,null,null]",A,iex
62f40da4e66a71ae9cac6466,"[""Q"",""2022-08-10T15:57:11.969704149-04:00"",1660161431969704200,""spy"",500,419.89,419.905,419.92,200,null,null,0,0,null,null,null]",A,iex
62f40da4e66a71ae9cac6467,"[""Q"",""2022-08-10T15:57:11.971974741-04:00"",1660161431971974700,""qqq"",800,325.95,325.975,326,800,null,null,0,0,null,null,null]",A,iex
62f40da4e66a71ae9cac6468,"[""Q"",""2022-08-10T15:57:11.990387600-04:00"",1660161431990387700,""spy"",2000,419.86,419.89,419.92,200,null,null,0,0,null,null,null]",A,iex
62f40da4e66a71ae9cac6469,"[""Q"",""2022-08-10T15:57:12.063564993-04:00"",1660161432063565000,""qqq"",800,325.95,325.97,325.99,800,null,null,0,0,null,null,null]",A,iex
62f40da4e66a71ae9cac646a,"[""Q"",""2022-08-10T15:57:12.153916110-04:00"",1660161432153916200,""qqq"",800,325.96,325.975,325.99,800,null,null,0,0,null,null,null]",A,iex
62f40da4e66a71ae9cac646b,"[""Q"",""2022-08-10T15:57:12.156339816-04:00"",1660161432156339700,""qqq"",800,325.95,325.97,325.99,800,null,null,0,0,null,null,null]",A,iex
62f40da4e66a71ae9cac646c,"[""Q"",""2022-08-10T15:57:12.168808983-04:00"",1660161432168809000,""spy"",500,419.89,419.905,419.92,200,null,null,0,0,null,null,null]",A,iex
62f40da4e66a71ae9cac646d,"[""Q"",""2022-08-10T15:57:12.170743175-04:00"",1660161432170743300,""qqq"",800,325.95,325.975,326,800,null,null,0,0,null,null,null]",A,iex
62f40da4e66a71ae9cac646e,"[""Q"",""2022-08-10T15:57:12.191022481-04:00"",1660161432191022600,""spy"",100,419.9,419.91,419.92,200,null,null,0,0,null,null,null]",A,iex
62f40da5e66a71ae9cac646f,"[""Q"",""2022-08-10T15:57:12.256429893-04:00"",1660161432256429800,""qqq"",800,325.96,325.98,326,800,null,null,0,0,null,null,null]",A,iex
62f40da5e66a71ae9cac6470,"[""Q"",""2022-08-10T15:57:12.284028288-04:00"",1660161432284028400,""qqq"",800,325.96,325.975,325.99,800,null,null,0,0,null,null,null]",A,iex
62f40da5e66a71ae9cac6471,"[""Q"",""2022-08-10T15:57:12.292307305-04:00"",1660161432292307200,""qqq"",800,325.96,325.98,326,800,null,null,0,0,null,null,null]",A,iex
62f40da5e66a71ae9cac6472,"[""Q"",""2022-08-10T15:57:12.318538367-04:00"",1660161432318538200,""ndaq"",133,186.79,186.825,186.86,233,null,null,0,0,null,null,null]",A,iex
62f40da5e66a71ae9cac6473,"[""Q"",""2022-08-10T15:57:12.327678097-04:00"",1660161432327678200,""ndaq"",100,186.79,186.81,186.83,100,null,null,0,0,null,null,null]",A,iex
62f40da5e66a71ae9cac6474,"[""Q"",""2022-08-10T15:57:12.334227852-04:00"",1660161432334228000,""qqq"",200,325.97,325.985,326,800,null,null,0,0,null,null,null]",A,iex
62f40da5e66a71ae9cac6475,"[""T"",""2022-08-10T15:57:12.368814014-04:00"",1660161432368814000,""qqq"",null,null,null,null,null,325.975,100,null,0,0,0,0]",A,iex
62f40da5e66a71ae9cac6476,"[""Q"",""2022-08-10T15:57:12.401069725-04:00"",1660161432401069800,""qqq"",300,325.97,325.985,326,800,null,null,0,0,null,null,null]",A,iex
62f40da5e66a71ae9cac6477,"[""Q"",""2022-08-10T15:57:12.507253196-04:00"",1660161432507253200,""spy"",200,419.9,419.905,419.91,100,null,null,0,0,null,null,null]",A,iex
62f40da5e66a71ae9cac6478,"[""Q"",""2022-08-10T15:57:12.509494993-04:00"",1660161432509495000,""qqq"",100,325.97,325.98,325.99,800,null,null,0,0,null,null,null]",A,iex
62f40da5e66a71ae9cac6479,"[""Q"",""2022-08-10T15:57:12.562199902-04:00"",1660161432562199800,""qqq"",100,325.97,325.985,326,800,null,null,0,0,null,null,null]",A,iex
62f40da5e66a71ae9cac647a,"[""Q"",""2022-08-10T15:57:12.650431221-04:00"",1660161432650431200,""qqq"",300,325.97,325.98,325.99,800,null,null,0,0,null,null,null]",A,iex
62f40da5e66a71ae9cac647b,"[""T"",""2022-08-10T15:57:12.698501282-04:00"",1660161432698501400,""qqq"",null,null,null,null,null,325.97,100,null,0,1,0,0]",A,iex
62f40da5e66a71ae9cac647c,"[""Q"",""2022-08-10T15:57:12.698501282-04:00"",1660161432698501400,""qqq"",800,325.96,325.975,325.99,800,null,null,0,0,null,null,null]",A,iex
62f40da5e66a71ae9cac647d,"[""Q"",""2022-08-10T15:57:12.768666443-04:00"",1660161432768666400,""qqq"",800,325.95,325.97,325.99,800,null,null,0,0,null,null,null]",A,iex
62f40da5e66a71ae9cac647e,"[""Q"",""2022-08-10T15:57:12.835100502-04:00"",1660161432835100400,""qqq"",800,325.96,325.975,325.99,800,null,null,0,0,null,null,null]",A,iex
62f40da5e66a71ae9cac647f,"[""Q"",""2022-08-10T15:57:12.837377460-04:00"",1660161432837377500,""spy"",300,419.9,419.92,419.94,500,null,null,0,0,null,null,null]",A,iex
62f40da5e66a71ae9cac6480,"[""Q"",""2022-08-10T15:57:12.848487269-04:00"",1660161432848487200,""qqq"",800,325.96,325.98,326,800,null,null,0,0,null,null,null]",A,iex
62f40da5e66a71ae9cac6481,"[""Q"",""2022-08-10T15:57:12.903109602-04:00"",1660161432903109600,""qqq"",800,325.96,325.975,325.99,800,null,null,0,0,null,null,null]",A,iex
62f40da5e66a71ae9cac6482,"[""Q"",""2022-08-10T15:57:12.947744148-04:00"",1660161432947744300,""qqq"",800,325.95,325.97,325.99,800,null,null,0,0,null,null,null]",A,iex
62f40da5e66a71ae9cac6483,"[""Q"",""2022-08-10T15:57:12.971361280-04:00"",1660161432971361300,""spy"",100,419.9,419.905,419.91,100,null,null,0,0,null,null,null]",A,iex
62f40da5e66a71ae9cac6484,"[""Q"",""2022-08-10T15:57:12.980104410-04:00"",1660161432980104400,""qqq"",800,325.96,325.975,325.99,800,null,null,0,0,null,null,null]",A,iex
62f40da5e66a71ae9cac6485,"[""Q"",""2022-08-10T15:57:12.980466570-04:00"",1660161432980466700,""qqq"",800,325.96,325.98,326,800,null,null,0,0,null,null,null]",A,iex
62f40da5e66a71ae9cac6486,"[""Q"",""2022-08-10T15:57:13.026335545-04:00"",1660161433026335500,""qqq"",800,325.96,325.975,325.99,800,null,null,0,0,null,null,null]",A,iex
